estrutura,cenario,tamanho_base,repeticao,quantidade_operacoes,operacoes_sucesso,tempo_total_segundos,tempo_medio_segundos,memoria_pico_bytes,quantidade_elementos,numero_comparacoes,numero_colisoes,fator_carga,maior_lista,numero_rotacoes,altura_arvore
hash,operacoes_mistas,100,15,100,100,0.00020830007269978523,2.0830007269978523e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,15,100,100,4.1599967516958714e-05,4.159996751695871e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,15,100,100,0.0009132999693974853,9.132999693974852e-06,10480,100,1074,,,,66,8
avl,busca_existente,100,15,100,100,0.0002242999617010355,2.242999617010355e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,15,100,0,0.00022980000358074903,2.29800003580749e-06,112,100,618,,,,0,8
avl,remocao,100,15,10,10,4.549999721348286e-05,4.549999721348285e-06,48,90,65,,,,11,8
avl,vendas,100,15,100,98,0.00024319998919963837,2.431999891996384e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,15,100,100,0.00026480003725737333,2.6480003725737335e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,15,100,100,3.800005652010441e-05,3.8000056520104406e-07,864,100,0,,,,0,8
hash,insercao,100,16,100,100,0.00031180004589259624,3.1180004589259622e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,16,100,100,0.00023119989782571793,2.311998978257179e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,16,100,0,0.0002223999472334981,2.2239994723349808e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,16,10,10,4.2500090785324574e-05,4.250009078532458e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,16,100,98,0.0004395999712869525,4.395999712869525e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,16,100,100,0.0004896000027656555,4.896000027656555e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,16,100,100,6.820005364716053e-05,6.820005364716053e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,16,100,100,0.0011411999585106969,1.1411999585106969e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,16,100,100,0.0006342000560835004,6.342000560835004e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,16,100,0,0.0002840999513864517,2.8409995138645172e-06,112,100,618,,,,0,8
avl,remocao,100,16,10,10,4.9400026910007e-05,4.9400026910007e-06,48,90,65,,,,11,8
avl,vendas,100,16,100,98,0.0002479999093338847,2.479999093338847e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,16,100,100,0.0002709000837057829,2.709000837057829e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,16,100,100,1.8699909560382366e-05,1.8699909560382366e-07,864,100,0,,,,0,8
hash,insercao,100,17,100,100,0.0003307000733911991,3.307000733911991e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,17,100,100,0.0001781000755727291,1.7810007557272911e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,17,100,0,0.0001694000093266368,1.694000093266368e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,17,10,10,3.170000854879618e-05,3.1700008548796175e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,17,100,98,0.00017919996753335,1.7919996753334999e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,17,100,100,0.00021710002329200506,2.1710002329200506e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,17,100,100,6.180000491440296e-05,6.180000491440296e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,17,100,100,0.0018131000688299537,1.8131000688299535e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,17,100,100,0.00047500000800937414,4.750000080093742e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,17,100,0,0.0005207000067457557,5.207000067457557e-06,112,100,618,,,,0,8
avl,remocao,100,17,10,10,8.849997539073229e-05,8.849997539073228e-06,48,90,65,,,,11,8
